Carimbo de data/hora,Entre com seu identificador de usuário (número do cartão UFRGS),Consegui completar a tarefa.,Dificuldade,Tempo gasto,Marque todas que se aplicam
8/10/2023 14:26:55,33,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo inclinar,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:26:56,25,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa"
8/10/2023 14:27:45,30,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,Achei muito divertido fazer a tarefa
8/10/2023 14:29:30,28,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:30:17,26,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa"
8/10/2023 14:31:52,32,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Se precisasse fazer novamente este teste, eu teria medo de bater o carro, Achei muito divertido fazer a tarefa"
8/10/2023 14:32:09,27,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais ou menos o mesmo tempo para realizar as tarefas,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa"
8/10/2023 14:32:49,37,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Se precisasse fazer novamente este teste, eu teria medo de bater o carro, Achei muito cansativo fazer a tarefa"
8/10/2023 14:33:22,34,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais tempo para realizar a tarefa no modo inclinar,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:38:53,39,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo inclinar,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:39:07,35,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Se precisasse fazer novamente este teste, eu teria medo de bater o carro, Achei muito divertido fazer a tarefa"
8/10/2023 14:40:10,31,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:44:13,40,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
8/10/2023 14:47:33,38,completei ambas as tarefas,Achei mais difícil realizar a tarefa no modo touch,Acho que gastei mais tempo para realizar a tarefa no modo touch,"Após realizar este teste, me sinto confiante de que conseguiria completar a tarefa, Achei muito divertido fazer a tarefa"
